"Scope","Item","SourceRefs","SizeMB","SampleRefs","Status"
"lib","lib/grapesjsui","19","36.39","D:\source\SkyCMS\Editor\Views\Shared\_GrapesJsEditor.cshtml:15; D:\source\SkyCMS\Editor\Views\Shared\_GrapesJsEditor.cshtml:17","keep-local"
"lib","lib/cosmos","13","0.15","D:\source\SkyCMS\Editor\Views\Blog\Create.cshtml:9; D:\source\SkyCMS\Editor\Views\Blog\Edit.cshtml:8","keep-local"
"lib","lib/tabulator-tables","10","28.43","D:\source\SkyCMS\Editor\Views\Blog\Entries.cshtml:11; D:\source\SkyCMS\Editor\Views\Blog\Entries.cshtml:13","cdn-migrated"
"lib","lib/filepond","9","0.95","D:\source\SkyCMS\Editor\Views\Blog\Create.cshtml:7; D:\source\SkyCMS\Editor\Views\Blog\Create.cshtml:139","cdn-migrated"
"lib","lib/monaco","6","42.48","D:\source\SkyCMS\Editor\Views\Editor\Compare.cshtml:144; D:\source\SkyCMS\Editor\Views\Editor\Compare.cshtml:169","vet"
"lib","lib/ckeditor","5","37.27","D:\source\SkyCMS\Editor\Views\Editor\CcmsContent.cshtml:10; D:\source\SkyCMS\Editor\Views\Editor\CcmsContent.cshtml:11","vet"
"lib","lib/grapesjs","5","11.6","D:\source\SkyCMS\Editor\Views\Shared\_GrapesJsEditor.cshtml:16; D:\source\SkyCMS\Editor\Views\Shared\_GrapesJsEditor.cshtml:21","keep-local"
"lib","lib/luxon","5","1.89","D:\source\SkyCMS\Editor\Views\Blog\Entries.cshtml:12; D:\source\SkyCMS\Editor\Views\Blog\Index.cshtml:13","cdn-migrated"
"lib","lib/filepond-plugin-file-metadata","4","0.01","D:\source\SkyCMS\Editor\Views\Blog\Create.cshtml:138; D:\source\SkyCMS\Editor\Views\Blog\Edit.cshtml:217","keep-local"
"lib","lib/font-awesome","3","9.02","D:\source\SkyCMS\Editor\Views\Shared\_Layout.cshtml:8; D:\source\SkyCMS\Editor\Views\Shared\_LayoutEditor.cshtml:30","keep-local"
"lib","lib/elfinder","3","4.66","D:\source\SkyCMS\Editor\Views\Shared\FileExplorer\Index.cshtml:28; D:\source\SkyCMS\Editor\Views\Shared\FileExplorer\Index.cshtml:265","vet"
"lib","lib/picocss","2","18.45","D:\source\SkyCMS\Editor\Views\Editor\CcmsContent.cshtml:27; D:\source\SkyCMS\Editor\Services\LoginAssetBootstrapService.cs:28","cdn-migrated"
"lib","lib/bootstrap","2","8.59","D:\source\SkyCMS\Editor\Views\Editor\AiHelp.cshtml:11; D:\source\SkyCMS\Editor\Views\Shared\_LayoutEditor.cshtml:26","cdn-migrated"
"lib","lib/cropperjs","2","0.3","D:\source\SkyCMS\Editor\Views\Editor\CcmsContent.cshtml:70; D:\source\SkyCMS\Editor\Views\Editor\CcmsContent.cshtml:71","cdn-migrated"
"lib","lib/popper","1","1.3","D:\source\SkyCMS\Editor\Views\Editor\CcmsContent.cshtml:196","vet"
"lib","lib/tippy","1","1.26","D:\source\SkyCMS\Editor\Views\Editor\CcmsContent.cshtml:197","vet"
"lib","lib/grapick","1","0.01","D:\source\SkyCMS\Editor\Views\Shared\_GrapesJsEditor.cshtml:20","keep-local"
"lib","lib/promise-window","1","0","D:\source\SkyCMS\Editor\Views\Shared\_LayoutEditor.cshtml:93","keep-local"
"lib","lib/signalr","0","2.69","","vet"
"lib","lib/jquery-validate","0","0.43","","vet"
"lib","lib/elfinder-material-theme","0","0.41","","safe-remove"
"lib","lib/monaco-editor-integration","0","0.23","","safe-remove"
"lib","lib/bootstrap-daterangepicker","0","0.19","","safe-remove"
"lib","lib/grapesjs-blocks-bootstrap-5","0","0.09","","safe-remove"
"lib","lib/grapesjs-blocks-bootstrap4","0","0.08","","safe-remove"
"lib","lib/clipboard","0","0.04","","safe-remove"
"lib","lib/grapesjs-blocks-basic","0","0.03","","safe-remove"
"lib","lib/grapesjs-plugin-forms","0","0.03","","safe-remove"
"lib","lib/jquery-validation-unobtrusive","0","0.02","","vet"
"lib","lib/tailwindcss","0","0.02","","safe-remove"
"lib","lib/images","0","0","","vet"
"lib-file","lib/qrcode.js","0","0.03","","safe-remove"
"lib-file","lib/qrcode.min.js","0","0.02","","safe-remove"
"wwwroot","js","34","0.2","D:\source\SkyCMS\Editor\Views\Blog\Entries.cshtml:13; D:\source\SkyCMS\Editor\Views\Blog\Entries.cshtml:14","keep-local"
"wwwroot","css","33","0.4","D:\source\SkyCMS\Editor\Views\Blog\Entries.cshtml:11; D:\source\SkyCMS\Editor\Views\Blog\Index.cshtml:12","keep-local"
"wwwroot","images","29","26.68","D:\source\SkyCMS\Editor\Views\Editor\Create.cshtml:148; D:\source\SkyCMS\Editor\Views\Editor\Create.cshtml:153","vet"
"wwwroot","ccms","4","0.01","D:\source\SkyCMS\Editor\Views\Home\Preview.cshtml:18; D:\source\SkyCMS\Editor\Views\Home\Wrapper.cshtml:25","keep-local"
"wwwroot-file","favicon.ico","0","0.03","","keep-local"
"wwwroot-file","htmlpage.html","0","0","","keep-local"
